field.nmbr,registr. Nmbr,genus,species,surface_area_um2,counts
UPG-EG22-104,NBC.LAB.11206,Operculina,Operculina ammonoides,713293361,150
UPG-EG22-106,NBC.LAB.11207,Neorotalia,Neorotalia gaimardi,14786659.83,101
UPG-EG22-082,NBC.LAB.11190,Sorites,Sorites sp.,181784222.3,94
UPG-EG22-024,NBC.LAB.11179,Amphistegina,Amphistegina radiata,104573334.8,77
UPG-EG22-103,NBC.LAB.11205,Neorotalia,Neorotalia gaimardi,11815278.71,72
UPG-EG22-026,NBC.LAB.11181,Amphistegina,Amphistegina radiata,32366418.94,54
UPG-EG22-089,NBC.LAB.11197,Amphistegina,Amphistegina radiata,22062807.41,33
UPG-EG22-084,NBC.LAB.11192,Peneroplis,Peneroplis sp.,19504958.13,32
UPG-EG22-090,NBC.LAB.11198,Amphistegina,Amphistegina radiata,16083786.08,23
UPG-EG22-084,NBC.LAB.11192,Calcarina,Calcarina sp.,4896814.045,16
UPG-EG22-091,NBC.LAB.11199,Amphistegina,Amphistegina radiata,28598732.84,15
UPG-EG22-106,NBC.LAB.11207,Calcarina,Calcarina sp.,3739577.91,14
UPG-EG22-027,NBC.LAB.11182,Calcarina,Calcarina sp.,3523556.431,12
UPG-EG22-103,NBC.LAB.11205,Calcarina,Calcarina sp.,3012236.629,12
UPG-EG22-109,NBC.LAB.11210,Operculina,Operculina ammonoides,11783529.41,11
UPG-EG22-082,NBC.LAB.11190,Calcarina,Calcarina sp.,2587305.734,9
UPG-EG22-088,NBC.LAB.11196,Amphisorus,Amphisorus sp.,44897806.42,9
UPG-EG22-109,NBC.LAB.11210,Baculogypsinoides,Baculogypsinoides spinosus,10580100.22,7
UPG-EG22-109,NBC.LAB.11210,Calcarina,Calcarina mayori,2829923.779,7
UPG-EG22-082,NBC.LAB.11190,Amphistegina,Amphistegina lessonii,5878364.27,6
UPG-EG22-024,NBC.LAB.11179,Calcarina,Calcarina spengleri,7501158.132,5
UPG-EG22-031,NBC.LAB.11186,Calcarina,Calcarina sp.,3002607.998,5
UPG-EG22-085,NBC.LAB.11193,Calcarina,Calcarina sp.,3278216.441,5
UPG-EG22-090,NBC.LAB.11198,Calcarina,Calcarina spengleri,3750285.728,5
UPG-EG22-107,NBC.LAB.11208,Amphisorus,Amphisorus sp.,78749060.74,5
UPG-EG22-029,NBC.LAB.11184,Peneroplis,Peneroplis sp.,734464.946,4
UPG-EG22-088,NBC.LAB.11196,Elphidium,Elphidium sp.,391868.344,4
UPG-EG22-089,NBC.LAB.11197,Calcarina,Calcarina sp.,1471528.436,4
UPG-EG22-098,NBC.LAB.11200,Heterostegina,Heterostegina depressa,5483338.925,4
UPG-EG22-024,NBC.LAB.11179,Operculina,Operculina ammonoides,2104458.62,4
UPG-EG22-100,NBC.LAB.11202,Operculina,Operculina ammonoides,6530852.577,4
UPG-EG22-082,NBC.LAB.11190,Neorotalia,Neorotalia calcar,275934.284,3
UPG-EG22-107,NBC.LAB.11208,Sorites,Sorites sp.,5679749.65,3
UPG-EG22-033,NBC.LAB.11188,Operculina,Operculina ammonoides,1415092.498,3
UPG-EG22-101,NBC.LAB.11203,Sorites,Sorites sp.,3098222.467,3
UPG-EG22-026,NBC.LAB.11181,Calcarina,Calcarina spengleri,622596.287,2
UPG-EG22-103,NBC.LAB.11205,Amphistegina,Amphistegina lessonii,2000760.281,2
UPG-EG22-104,NBC.LAB.11206,Amphistegina,Amphistegina lessonii,1617768.443,2
UPG-EG22-083,NBC.LAB.11191,Heterostegina,Heterostegina depressa,2889945.259,2
UPG-EG22-026,NBC.LAB.11181,Other,Other 1,472499.246,1
UPG-EG22-029,NBC.LAB.11184,Operculina,Operculina ammonoides,2663688.569,1
UPG-EG22-081,NBC.LAB.11189,Amphisorus,Amphisorus sp.,25080652.29,1
UPG-EG22-081,NBC.LAB.11189,Calcarina,Calcarina mayori,242522.86,1
UPG-EG22-082,NBC.LAB.11190,Neorotalia,Neorotalia gaimardi,191700.897,1
UPG-EG22-084,NBC.LAB.11192,Neorotalia,Neorotalia gaimardi,443611.432,1
UPG-EG22-088,NBC.LAB.11196,Other,Other 1,382447.293,1
UPG-EG22-091,NBC.LAB.11199,Amphisorus,Amphisorus sp.,1871007.079,1
UPG-EG22-091,NBC.LAB.11199,Other,Other 1,438029.103,1
UPG-EG22-103,NBC.LAB.11205,Other,Other 1,176429.251,1
UPG-EG22-109,NBC.LAB.11210,Calcarina,Calcarina spengleri,761437.362,1
UPG-EG22-033,NBC.LAB.11188,Calcarina,Calcarina sp.,652199.306,1
UPG-EG22-086,NBC.LAB.11194,Operculina,Operculina ammonoides,266821.755,1
UPG-EG22-088,NBC.LAB.11196,Operculina,Operculina ammonoides,1877270.731,1
UPG-EG22-100,NBC.LAB.11202,Elphidium,Elphidium sp.,549537.59,1
UPG-EG22-021,NBC.LAB.11176,Amphisorus,Amphisorus sp.,0,0
UPG-EG22-025,NBC.LAB.11180,Peneroplis,Peneroplis sp.,0,0
UPG-EG22-026,NBC.LAB.11181,Elphidium,Elphidium sp.,0,0
UPG-EG22-027,NBC.LAB.11182,Neorotalia,Neorotalia gaimardi,0,0
UPG-EG22-031,NBC.LAB.11186,Neorotalia,Neorotalia gaimardi,0,0
UPG-EG22-081,NBC.LAB.11189,Calcarina,Calcarina spengleri,0,0
UPG-EG22-084,NBC.LAB.11192,Amphisorus,Amphisorus sp.,0,0
UPG-EG22-085,NBC.LAB.11193,Neorotalia,Neorotalia gaimardi,0,0
UPG-EG22-089,NBC.LAB.11197,Amphisorus,Amphisorus sp.,0,0
UPG-EG22-089,NBC.LAB.11197,Calcarina,Calcarina spengleri,0,0
UPG-EG22-089,NBC.LAB.11197,Elphidium,Elphidium sp.,0,0
UPG-EG22-089,NBC.LAB.11197,Operculina,Operculina ammonoides,0,0
UPG-EG22-090,NBC.LAB.11198,Neorotalia,Neorotalia calcar,0,0
UPG-EG22-090,NBC.LAB.11198,Operculina,Operculina ammonoides,0,0
UPG-EG22-091,NBC.LAB.11199,Peneroplis,Peneroplis sp.,0,0
UPG-EG22-100,NBC.LAB.11202,Calcarina,Calcarina mayori,0,0
UPG-EG22-102,NBC.LAB.11204,Neorotalia,Neorotalia gaimardi,0,0
UPG-EG22-104,NBC.LAB.11206,Amphisorus,Amphisorus sp.,0,0
UPG-EG22-104,NBC.LAB.11206,Borelis,Borelis schlumbergeri,0,0
UPG-EG22-104,NBC.LAB.11206,Heterostegina,Heterostegina depressa,0,0
UPG-EG22-104,NBC.LAB.11206,Nummulites,Nummulites venosus,0,0
UPG-EG22-109,NBC.LAB.11210,Sorites,Sorites sp.,0,0
UPG-EG22-030,NBC.LAB.11185,Elphidium,Elphidium sp.,0,0
UPG-EG22-103,NBC.LAB.11205,Elphidium,Elphidium sp.,0,0
UPG-EG22-021,NBC.LAB.11176,Amphistegina,Amphistegina lessonii,25830156.11,29
UPG-EG22-021,NBC.LAB.11176,Amphistegina,Amphistegina radiata,121399682.5,96
UPG-EG22-021,NBC.LAB.11176,Calcarina,Calcarina spengleri,2106660.482,1
UPG-EG22-021,NBC.LAB.11176,Elphidium,Elphidium sp.,637977.315,2
UPG-EG22-021,NBC.LAB.11176,Heterostegina,Heterostegina depressa,37764275.57,19
UPG-EG22-021,NBC.LAB.11176,Operculina,Operculina ammonoides,1831617.182,1
UPG-EG22-021,NBC.LAB.11176,Other,Other 1,1040646.273,2
UPG-EG22-022,NBC.LAB.11177,Amphistegina,Amphistegina lessonii,44947519.41,81
UPG-EG22-022,NBC.LAB.11177,Amphistegina,Amphistegina radiata,26742765.92,17
UPG-EG22-022,NBC.LAB.11177,Amphisorus,Amphisorus sp.,94717550.29,5
UPG-EG22-022,NBC.LAB.11177,Calcarina,Calcarina spengleri,17742529.67,24
UPG-EG22-022,NBC.LAB.11177,Elphidium,Elphidium sp.,1763083.502,4
UPG-EG22-022,NBC.LAB.11177,Heterostegina,Heterostegina depressa,67752470.83,22
UPG-EG22-022,NBC.LAB.11177,Peneroplis,Peneroplis sp.,3705315.97,6
UPG-EG22-022,NBC.LAB.11177,Sorites,Sorites sp.,675914.994,2
UPG-EG22-023,NBC.LAB.11178,Amphistegina,Amphistegina lessonii,17020166.01,15
UPG-EG22-023,NBC.LAB.11178,Amphistegina,Amphistegina radiata,141133974.3,86
UPG-EG22-023,NBC.LAB.11178,Calcarina,Calcarina spengleri,12562299.04,11
UPG-EG22-023,NBC.LAB.11178,Elphidium,Elphidium sp.,754472.091,3
UPG-EG22-023,NBC.LAB.11178,Heterostegina,Heterostegina depressa,110206029.3,40
