ESVs,species,identity_percentage,coverage,evalue,bitscore,source
ESV_1,Amphistegina_lessonii,100,100,1.55E-171,597,Genbank
ESV_2,Heterostegina_depressa_sp2_Spermonde,100,100,1.55E-171,597,Genbank
ESV_3,Amphistegina_radiata_Spermonde,100,100,1.55E-171,597,Genbank
ESV_4,Amphistegina_lobifera,100,100,1.55E-171,597,Genbank
ESV_5,Peneroplis_sp1_Spermonde,100,100,1.99E-170,593,Genbank
ESV_6,Elphidium_Rik_9327_9337_9350_Spermonde,100,100,1.55E-171,597,Genbank
ESV_7,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,100,100,1.99E-170,593,Genbank
ESV_8,Operculina_ammonoides,100,100,1.55E-171,597,Genbank
ESV_9,Neorotalia_gaimardi_&_Baculogypsina_sphaerulata_Spermonde,100,100,1.55E-171,597,Genbank
ESV_10,Sorites_sp2_Spermonde,100,100,1.99E-170,593,Genbank
ESV_11,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,100,100,1.55E-171,597,Genbank
ESV_12,Sorites_sp1_Spermonde,100,100,1.99E-170,593,Genbank
ESV_13,Calcarina_spengleri_Rik_9352_consensus0_1732_Spermonde,100,100,1.55E-171,597,Genbank
ESV_14,Neorotalia_calcar_Spermonde,100,100,1.55E-171,597,Genbank
ESV_15,Amphistegina_papillosa_Spermonde_3741,100,100,1.55E-171,597,Genbank
ESV_16,Sorites_sp2_Spermonde,99.688,100,9.28E-169,588,Genbank
ESV_17,Peneroplis_sp2_&_Peneroplis_pertusus_5117_&_Dendritina_ambigua_Spermonde,100,100,1.99E-170,593,Genbank
ESV_18,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,99.065,100,2.01E-165,577,Genbank
ESV_19,Milliolid_red_Rik_9370_9371_9372_Israel,99.688,100,9.28E-169,588,Genbank
ESV_20,Nummulites_venosus,100,100,1.55E-171,597,Genbank
ESV_21,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_22,Heterostegina_depressa_sp1_Spermonde,100,100,1.55E-171,597,Genbank
ESV_23,Amphistegina_bicirculata_Rik_9379_9380_9381_9382_Eilat,97.523,100,3.41E-158,553,Genbank
ESV_24,Encrusting_Rik_9441_consensus0_977,100,100,1.55E-171,597,Genbank
ESV_25,Operculina_ammonoides,99.69,100,2.6E-169,590,Genbank
ESV_26,Planorbulinella_sp._17893,99.69,100,7.22E-170,592,Genbank
ESV_27,Eggerelloides_scaber_12301,96.594,100,3.43E-153,536,Genbank
ESV_28,Milliolid_red_Rik_9370_9371_9372_Israel,100,100,1.99E-170,593,Genbank
ESV_29,Elphidium_williamsoni_13170,96.285,100,1.6E-151,531,Genbank
ESV_30,Murrayinella_globosa_18043,99.381,100,3.36E-168,586,Genbank
ESV_31,Trifarina_earlandi_&_Uvigerina_bifurcata,98.142,100,5.64E-161,562,Genbank
ESV_32,Haynesina_germanica_18209,94.62,98,2.71E-139,490,Genbank
ESV_33,Encrusting_Rik_9441_consensus0_977,98.142,100,1.57E-161,564,Genbank
ESV_34,Borelis_schlumbergeri_3737_Spermonde,98.762,100,2.61E-164,573,Genbank
ESV_35,Rosalina_sp._17595,92.857,99,1.64E-131,464,Genbank
ESV_36,Sorites_sp1_Spermonde,99.065,100,2.01E-165,577,Genbank
ESV_37,Haynesina_germanica_18209,99.69,100,7.22E-170,592,Genbank
ESV_38,Encrusting_Rik_9441_consensus0_977,99.69,100,7.22E-170,592,Genbank
ESV_39,Encrusting_Rik_9441_consensus0_977,99.071,100,1.56E-166,580,Genbank
ESV_40,Rosalina_sp._17595,98.762,100,7.27E-165,575,Genbank
ESV_41,Rosalina_sp._17595,99.071,100,1.56E-166,580,Genbank
ESV_42,Calcarina_hispida_&_Calcarina_sp_5163_Spermonde,100,100,1.55E-171,597,Genbank
ESV_44,Encrusting_Rik_9441_consensus0_977,96.594,100,3.43E-153,536,Genbank
ESV_45,Borelis_schlumbergeri_3737_Spermonde,99.065,100,2.01E-165,577,Genbank
ESV_46,Cribrorotalia_sp._17611,89.375,99,3.63E-113,403,Genbank
ESV_47,Sorites_sp1_Spermonde,98.442,100,4.35E-162,566,Genbank
ESV_48,Calcarina_sp._Spermonde,100,100,1.55E-171,597,Genbank
ESV_49,Borelis_schlumbergeri_3737_Spermonde,90.966,100,4.6E-122,433,Genbank
ESV_50,Eggerelloides_scaber_12301,96.904,100,7.37E-155,542,Genbank
ESV_51,Borelis_schlumbergeri_3737_Spermonde,99.688,100,9.28E-169,588,Genbank
ESV_52,Amphistegina_papillosa_Spermonde_3741,99.071,100,1.56E-166,580,Genbank
ESV_55,Amphistegina_papillosa_Spermonde_3741,99.381,100,3.36E-168,586,Genbank
ESV_56,Encrusting_Rik_9441_consensus0_977,98.762,100,7.27E-165,575,Genbank
ESV_57,Stainforthia_sp._17321,99.69,100,7.22E-170,592,Genbank
ESV_58,Encrusting_Rik_9441_consensus0_977,98.119,99,2.63E-159,556,Genbank
ESV_59,Vertebralina_Rik_9325_consensus0_1751,95.016,100,9.61E-144,505,Genbank
ESV_60,Borelis_schlumbergeri_3737_Spermonde,99.377,100,4.32E-167,582,Genbank
ESV_61,Heterostegina_depressa_sp2_Spermonde,98.762,100,7.27E-165,575,Genbank
ESV_62,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,99.377,100,4.32E-167,582,Genbank
ESV_63,Textularid_Rik_9398_consensus128_73,91.615,100,2.12E-125,444,Genbank
ESV_65,Murrayinella_globosa_18043,97.214,100,1.58E-156,547,Genbank
ESV_66,Heterostegina_depressa_sp1_Spermonde,98.762,100,2.61E-164,573,Genbank
ESV_68,Encrusting_Rik_9441_consensus0_977,96.594,100,3.43E-153,536,Genbank
ESV_69,Calcarina_sp._5164_Spermonde,100,100,1.55E-171,597,Genbank
ESV_71,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_72,Encrusting_Rik_9441_consensus0_977,94.427,100,1.62E-141,497,Genbank
ESV_74,Textularid_Rik_9398_consensus128_73,90.683,100,2.14E-120,427,Genbank
ESV_75,Encrusting_Rik_9441_consensus0_977,98.142,100,1.57E-161,564,Genbank
ESV_76,Planorbulinella_sp._17893,99.379,99,1.21E-167,584,Genbank
ESV_77,Milliolid_red_Rik_9370_9371_9372_Israel,98.452,100,1.22E-162,568,Genbank
ESV_79,Encrusting_Rik_9441_consensus0_977,99.381,100,3.36E-168,586,Genbank
ESV_80,Baculogypsinoides_spinosus_8078_8079_8080,100,99,5.58E-171,595,Genbank
ESV_81,Discanomalina_coronata_18034,94.984,99,1.25E-142,501,Genbank
ESV_82,Heterostegina_depressa_sp1_Spermonde,99.071,100,1.56E-166,580,Genbank
ESV_83,Oridorsalis_umbonatus_18653,96.904,100,7.37E-155,542,Genbank
ESV_84,Rosalina_sp._17595,99.371,98,2.02E-165,577,Genbank
ESV_85,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_87,Murrayinella_globosa_18043,98.765,100,7.27E-165,575,Genbank
ESV_88,Encrusting_Rik_9441_consensus0_977,99.381,100,3.36E-168,586,Genbank
ESV_90,Vertebralina_Rik_9325_consensus0_1751,95.283,98,3.48E-143,503,Genbank
ESV_91,Encrusting_Rik_9441_consensus0_977,94.118,100,7.53E-140,492,Genbank
ESV_92,Milliolid_red_Rik_9370_9371_9372_Israel,99.065,100,2.01E-165,577,Genbank
ESV_93,Sorites_sp2_Spermonde,99.377,100,4.32E-167,582,Genbank
ESV_95,Eggerelloides_scaber_12301,95.666,100,3.45E-148,520,Genbank
ESV_96,Discanomalina_coronata_18034,94.921,98,2.09E-140,494,Genbank
ESV_97,Peneroplis_sp2_&_Peneroplis_pertusus_5117_&_Dendritina_ambigua_Spermonde,99.065,100,2.01E-165,577,Genbank
ESV_98,Operculina_ammonoides,99.071,100,1.56E-166,580,Genbank
ESV_99,Vertebralina_Rik_9325_consensus0_1751,99.065,100,2.01E-165,577,Genbank
ESV_100,Eggerelloides_scaber_12301,90.093,99,1.3E-117,418,Genbank
ESV_101,Textularid_Rik_9397_consensus4_105,97.523,100,3.41E-158,553,Genbank
ESV_102,Sorites_sp1_Spermonde,99.377,100,4.32E-167,582,Genbank
ESV_103,Calcarina_gaudichaudii,99.071,100,1.56E-166,580,Genbank
ESV_104,Murrayinella_globosa_18043,100,100,1.55E-171,597,Genbank
ESV_105,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,100,100,1.55E-171,597,Genbank
ESV_106,Sorites_sp1_Spermonde,99.377,100,4.32E-167,582,Genbank
ESV_108,Miliolid_Rik_9400_9405_Israel,99.688,100,9.28E-169,588,Genbank
ESV_109,Cyrea_szymborska_17247,98.065,96,9.54E-154,538,Genbank
ESV_110,Cyrea_szymborska_17247,95.484,96,2.09E-140,494,Genbank
ESV_111,Alveolinella_quoyi_Spermonde,100,100,1.99E-170,593,Genbank
ESV_112,Milliolid_red_Rik_9370_9371_9372_Israel,98.442,100,4.35E-162,566,Genbank
ESV_113,Textularid_Rik_9398_consensus128_73,90.994,100,4.6E-122,433,Genbank
ESV_114,Trifarina_earlandi_&_Uvigerina_bifurcata,97.523,100,1.22E-157,551,Genbank
ESV_115,Vertebralina_Rik_9325_consensus0_1751,99.688,100,9.28E-169,588,Genbank
ESV_118,Encrusting_Rik_9441_consensus0_977,98.762,100,7.27E-165,575,Genbank
